loop,y1,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best,Mean Personal Best
1,1722.483931,-29.96540165080815,-18.327729323664123,-30.279749355624567,-37.28155354887531,149.5954375304621,273.97049456958445,3496.6671337762464,-26.27914783563184,131.77232816854013,-45.297839231826416,-41.3678814963512
2,1727.433177,-25.855256307660813,-15.303085402248737,-25.701688508835637,-32.62111928543651,153.67009101398008,279.77153266128875,3501.0325336444084,-22.09987902060616,136.24314106975473,-39.86906234568519,-36.20630895677152
3,1731.999665,-22.1591305899887,-12.518954736777673,-21.492444126090085,-28.309167963839517,157.3761213164126,285.5534765518988,3504.916528231201,-18.255197658871676,140.67807766492604,-34.82158481856676,-31.224446541642106
4,1736.151028,-18.833693123455816,-9.741386201838594,-17.627340680371027,-24.39330829085494,160.70052910296096,290.9229768479305,3508.418049776309,-14.679441568713017,144.64913700100374,-30.27416005072522,-26.571538558701366
5,1739.97413,-15.950909527994018,-7.376235845333666,-14.268697877526597,-20.9492584178571,163.44593577410518,295.8089586893951,3511.432554463912,-11.575071183549378,148.2623520560813,-26.125399837107874,-22.658322130677465
6,1743.459326,-13.509068662014064,-5.410181860491192,-11.308284752295078,-17.76448791671468,165.65770048957083,300.35088779673856,3514.0748653361943,-8.977341140185906,151.58339264521942,-22.361903746278763,-18.819993498484056
7,1746.672387,-11.138846495979566,-3.884626441280077,-8.66585565096334,-14.83918125615816,167.8225805410852,304.5054698074023,3516.301992079284,-6.626684668326654,154.5461586486395,-18.900027821223205,-15.41295648309394
8,1749.595509,-9.07910515036756,-2.5974753909603483,-6.38207340797565,-12.231547897640624,169.63058709490872,307.84758646337497,3518.1681641196674,-4.644618116076915,157.18777518802327,-15.73293026413092,-12.32477458094047
9,1751.925135,-7.237194472883992,-1.4623349979802136,-4.437527505718546,-9.988765903005715,171.1505907249764,311.22130276799464,3519.825149382582,-3.115825198944462,159.5162177005922,-12.907123082939163,-9.59225315397442
10,1754.279102,-5.793224460499356,-0.5646383334171677,-2.811905982219164,-8.134838609257724,172.54590271811696,314.3665005953057,3521.264786722033,-1.6890698282126049,161.4031847789135,-10.445367987094418,-7.249300292844941
11,1756.360088,-4.410915521805706,0.216928626795686,-1.5670001099632969,-6.459991065001427,173.72656824068332,317.0638001581339,3522.5023173618088,-0.5356608924739101,162.91081819722095,-8.305757520866317,-5.194261021558949
12,1758.259105,-3.138202919352081,0.8667691498409147,-0.5736898772698277,-4.888392430284194,174.73303094792246,319.54749041178144,3523.486422530219,0.4307862921026482,164.42968557426033,-6.524820573971833,-3.510033608555399
13,1759.93639,-2.0786417354190307,1.365448479339571,0.2943654451067706,-3.543343066037304,175.49782800626275,321.74176036650243,3524.3072524572285,1.2661672481829571,165.74019935036304,-4.963505672743239,-2.126779763208096
14,1761.173767,-1.1022770520970415,1.7518398944752078,0.9556948436466668,-2.509839561201668,176.21488038064646,323.68164936546094,3524.9268381009,1.9616198396763072,166.7435893681299,-3.543036065777621,-0.9719512544464562
15,1762.445552,-0.2646295128034412,2.029271704522294,1.4745544047716852,-1.503707765257648,176.80097229371128,325.2426543833096,3525.470654046896,2.546335853785578,167.7838565069945,-2.39499135177953,0.034132998236536
16,1763.523106,0.4208487649999621,2.1447344239114563,1.85364294666594,-0.7123097481965873,177.23171054845514,326.5685165769314,3525.900488700953,3.0190791189123094,168.65325332760528,-1.2843906980900468,0.8217835217190051
17,1764.429456,0.9742770240060652,2.259313045268381,2.1232054045319773,0.0283218900297069,177.5607433027833,327.7779731302018,3526.2448459071893,3.403306422867884,169.3348942079753,-0.3754473716068254,1.3851036088301942
18,1765.244843,1.4436546523481133,2.333674350091182,2.3360862336795862,0.6427879705574343,177.83544620119855,328.7255062144598,3526.527164481464,3.712191640363413,169.89588948301306,0.3846774383157758,1.7950815634867776
19,1765.884857,1.7942621804016998,2.358760730542385,2.4586423487015594,1.1091050599040653,178.04652908735184,329.47281566942803,3526.7582497754947,3.94275763635176,170.33557080455404,1.014121346307629,2.021357632836043
20,1766.401238,2.0486027097121755,2.3587663363544698,2.51699054898076,1.4699908197072429,178.17686556156252,330.06453456636206,3526.9394343104746,4.143608520045395,170.6853635137989,1.5084111391576671,2.192184096099593
21,1766.720106,2.2074770820374505,2.358767347523302,2.543470680618923,1.7924825856527573,178.23383189665552,330.47746167388703,3527.07049048876,4.282008654119987,170.96024325718932,1.8304558957713544,2.3086894107511
22,1766.990626,2.3100725901061523,2.358809888553096,2.5491677186254744,1.9955324310045488,178.24485871656265,330.8110422659548,3527.154806300753,4.386600985661664,171.16002839978174,2.084000237679825,2.3845761384534883
23,1767.126455,2.366670636897981,2.3590516446600187,2.5491774038529016,2.1179046350161626,178.24865345415267,331.033156765461,3527.1960973310497,4.430227423963001,171.27069865882444,2.215847014953528,2.431932315527148
24,1767.206719,2.387391263286793,2.3596641875483457,2.5494896590569205,2.2051288128584474,178.24940822334975,331.1608338091381,3527.230830089376,4.449109866282378,171.32309598775305,2.291429614195972,2.4452539686107664
25,1767.24088,2.39885289595185,2.3598890260476506,2.549697908857436,2.2414536791277007,178.24941677105932,331.2172577837349,3527.249242578101,4.449432867346642,171.34625650963363,2.336277836205816,2.44885302706154
26,1767.24842,2.3997989964943254,2.3599829118271227,2.5497674556102203,2.2494878292546634,178.2494344054243,331.2347463535916,3527.2492877972204,4.449443641678924,171.34960886571844,2.347994840971137,2.449692800595083
27,1767.249655,2.3998597291599766,2.3599929603016805,2.549961818697659,2.249487960522846,178.24994830003826,331.24627942471085,3527.249298023146,4.449692958413116,171.34960948410458,2.3479988238244784,2.449892706131916
28,1767.249726,2.399864783922301,2.3599936274812188,2.5499892264907054,2.2494882225719546,178.24994833239828,331.24982431500433,3527.249374633084,4.449694270217657,171.34963964674384,2.348103223018419,2.449910853417067
29,1767.249733,2.399865258243535,2.3599938635973805,2.5499892341138484,2.24957836392113,178.24998906267518,331.2498243166114,3527.2499272063046,4.449913738541537,171.3498790207783,2.3489898798253503,2.4499865261504907
30,1767.249923,2.3999859996051507,2.3599987894060352,2.5499926405147035,2.2499656036524063,178.24999813960017,331.2498891551849,3527.2499829688577,4.449986688954799,171.34999284065535,2.3497312194108817,2.449990459924246
31,1767.24998,2.399996310875118,2.359998803120973,2.549994121000811,2.24997799137354,178.24999895836385,331.24995592550016,3527.249987022479,4.449991894242428,171.34999284074576,2.349957957723236,2.4499905174365058
32,1767.249993,2.39999637690429,2.3599991802563,2.549998540845744,2.2499800302247963,178.24999938619413,331.2499579000821,3527.249987028744,4.449992138040382,171.3499928409673,2.349985199471815,2.4499905258198105
33,1767.249997,2.399997085567524,2.3599999520467096,2.5499993996796304,2.249980739661757,178.24999938621187,331.24995790009905,3527.2499896412023,4.449992143166202,171.3499963124356,2.3499938400209723,2.4499929780441727
34,1767.249999,2.3999970881273853,2.359999993555466,2.5499994009592024,2.24999485146345,178.24999949518343,331.2499770583624,3527.2499998101275,4.449996422122036,171.34999764721468,2.3499938559136515,2.449995348469603
35,1767.25,2.3999992103455017,2.359999993578114,2.549999485286612,2.249999316587885,178.24999949793053,331.249988543856,3527.249999841339,4.449996501666465,171.34999764764342,2.349994135790588,2.449997914445419
36,1767.25,2.399999301941496,2.3599999936091454,2.549999594121938,2.249999318132424,178.249999854049,331.249996210626,3527.2499999206825,4.449999535708455,171.34999913293262,2.349995335834909,2.449998825340414
37,1767.25,2.3999993860925355,2.359999998846305,2.549999873032529,2.2499998119577085,178.249999854879,331.24999689953967,3527.249999982645,4.449999551367228,171.34999915961768,2.349998657931485,2.449999616907172
38,1767.25,2.3999998972936,2.3599999992926897,2.549999947546693,2.249999856663308,178.2499999695239,331.24999797372976,3527.249999993043,4.449999736806708,171.3499992931298,2.349999621255773,2.449999920156155
39,1767.25,2.3999998973059387,2.359999999295082,2.5499999815266925,2.249999877404901,178.24999997594642,331.24999951724305,3527.2499999931583,4.449999799708108,171.34999931483063,2.3499999381807437,2.4499999503022623
40,1767.25,2.3999998986753805,2.359999999305266,2.549999987522505,2.2499998783406783,178.24999998745673,331.24999984824905,3527.249999994082,4.449999931760171,171.34999931690643,2.349999974907408,2.4499999679482545
41,1767.25,2.399999898679479,2.359999999307946,2.5499999969160645,2.2499999109746485,178.2499999875118,331.24999990541806,3527.249999998457,4.449999931817,171.34999986758794,2.3499999750580747,2.4499999936689347
42,1767.25,2.399999908059761,2.359999999468684,2.5499999987076256,2.2499999109750126,178.24999999155435,331.24999992804203,3527.24999999858,4.449999931827028,171.349999996572,2.349999975066002,2.44999999663196
43,1767.25,2.399999973513385,2.359999999572956,2.5499999996668654,2.2499999110265696,178.2499999923963,331.2499999626932,3527.2499999986185,4.449999977494865,171.34999999698877,2.349999975066088,2.4499999993810824
44,1767.25,2.3999999989659777,2.3599999999832435,2.5499999997261447,2.24999992817759,178.24999999506858,331.24999999063823,3527.2499999987185,4.44999999965109,171.34999999708964,2.34999998959402,2.4499999995142274
45,1767.25,2.399999999177808,2.3599999999871457,2.549999999728881,2.249999976193274,178.2499999993819,331.2499999990034,3527.249999999031,4.449999999752123,171.34999999848912,2.349999999458002,2.449999999527635
46,1767.25,2.3999999992712686,2.35999999998858,2.5499999998319685,2.24999999864118,178.24999999993443,331.2499999992714,3527.249999999726,4.44999999975224,171.34999999995995,2.349999999857648,2.449999999889239
47,1767.25,2.3999999993001957,2.3599999999915733,2.549999999982936,2.249999998659042,178.249999999953,331.24999999931345,3527.249999999899,4.449999999752454,171.3499999999607,2.349999999918224,2.449999999938366
48,1767.25,2.399999999300872,2.359999999999907,2.549999999984604,2.2499999987030384,178.24999999995717,331.249999999579,3527.249999999902,4.449999999754331,171.34999999996458,2.349999999938883,2.449999999979818
49,1767.25,2.3999999997053667,2.359999999999911,2.549999999984621,2.2499999987035078,178.24999999996345,331.2499999999509,3527.249999999902,4.449999999768673,171.34999999996458,2.34999999995462,2.449999999982015
50,1767.25,2.399999999708246,2.359999999999915,2.5499999999848124,2.249999999933663,178.24999999999596,331.24999999996646,3527.2499999999563,4.449999999863399,171.3499999999913,2.349999999965857,2.449999999982197
51,1767.25,2.399999999708545,2.359999999999946,2.549999999991464,2.249999999933676,178.24999999999605,331.24999999997254,3527.249999999992,4.449999999990079,171.34999999999545,2.3499999999918733,2.449999999996713
52,1767.25,2.3999999999532897,2.359999999999988,2.5499999999943808,2.249999999945806,178.2499999999961,331.2499999999757,3527.249999999999,4.449999999993169,171.34999999999604,2.3499999999918924,2.449999999997248
53,1767.25,2.39999999995329,2.3599999999999937,2.5499999999965217,2.249999999997093,178.2499999999962,331.2499999999956,3527.25,4.44999999999356,171.34999999999803,2.349999999992304,2.4499999999985738
54,1767.25,2.3999999999533883,2.3599999999999937,2.549999999999271,2.249999999997243,178.2499999999998,331.249999999998,3527.25,4.449999999993639,171.3499999999991,2.349999999992683,2.449999999998939
55,1767.25,2.399999999954466,2.359999999999997,2.5499999999998124,2.2499999999972915,178.2499999999998,331.24999999999807,3527.25,4.449999999996424,171.3499999999991,2.3499999999936265,2.449999999999384
56,1767.25,2.399999999954467,2.359999999999997,2.5499999999999448,2.249999999997312,178.24999999999983,331.24999999999807,3527.25,4.449999999999984,171.34999999999937,2.349999999998928,2.4499999999997493
57,1767.25,2.399999999997269,2.359999999999997,2.549999999999981,2.249999999999309,178.24999999999983,331.249999999999,3527.25,4.449999999999984,171.3499999999995,2.3499999999989583,2.4499999999998545
58,1767.25,2.399999999997269,2.3599999999999977,2.549999999999998,2.249999999999309,178.24999999999983,331.24999999999994,3527.25,4.449999999999994,171.34999999999994,2.349999999998961,2.449999999999973
59,1767.25,2.3999999999973465,2.3599999999999985,2.549999999999998,2.249999999999309,178.24999999999983,331.25,3527.25,4.45,171.34999999999994,2.349999999998964,2.449999999999981
60,1767.25,2.399999999999927,2.3599999999999985,2.549999999999998,2.249999999999676,178.24999999999983,331.25,3527.25,4.45,171.34999999999994,2.349999999999121,2.449999999999992
61,1767.25,2.399999999999927,2.3600000000000003,2.549999999999998,2.2499999999999862,178.24999999999983,331.25,3527.25,4.45,171.34999999999997,2.349999999999411,2.4499999999999957
62,1767.25,2.3999999999999497,2.3600000000000003,2.5499999999999994,2.249999999999996,178.24999999999997,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999892,2.4499999999999966
63,1767.25,2.3999999999999946,2.3600000000000003,2.5499999999999994,2.249999999999996,178.24999999999997,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999975,2.4499999999999984
64,1767.25,2.3999999999999946,2.3600000000000003,2.5499999999999994,2.249999999999996,178.24999999999997,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999976,2.4499999999999997
65,1767.25,2.3999999999999995,2.3600000000000008,2.55,2.2499999999999964,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999997,2.45
66,1767.25,2.3999999999999995,2.3600000000000008,2.55,2.249999999999998,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999997,2.4500000000000006
67,1767.25,2.3999999999999995,2.3600000000000008,2.55,2.25,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.349999999999997,2.450000000000001
68,1767.25,2.3999999999999995,2.3600000000000008,2.55,2.25,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3499999999999988,2.450000000000001
69,1767.25,2.4,2.3600000000000008,2.55,2.2500000000000004,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
70,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
71,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
72,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
73,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
74,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
75,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
76,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
77,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
78,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
79,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
80,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
81,1767.25,2.4,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
82,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
83,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
84,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
85,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
86,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.3500000000000005,2.450000000000001
87,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
88,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
89,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
90,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
91,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
92,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
93,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
94,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
95,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
96,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
97,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
98,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
99,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
100,1767.25,2.4000000000000004,2.3600000000000008,2.55,2.250000000000001,178.25,331.25,3527.25,4.450000000000001,171.34999999999997,2.350000000000001,2.450000000000001
